nave,bloque,variedad,finca,fecha_registro,cama,semana,semana_de_siembra,cantidad,quality,origin,upload_type,worker,edad,error
22,2,Mandalay,AGROMONTE,2025-07-29T00:00:00+00:00,8,2530,2453,245,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
22,2,Cocuy,AGROMONTE,2025-07-29T00:00:00+00:00,9,2530,2453,90,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
22,2,Cocuy,AGROMONTE,2025-07-29T00:00:00+00:00,10,2530,2453,125,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
22,2,Rodas,AGROMONTE,2025-07-29T00:00:00+00:00,11,2530,2453,185,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
22,2,Rodas,AGROMONTE,2025-07-29T00:00:00+00:00,12,2530,2453,230,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
2,5.2,Romany,AGROMONTE,2025-07-29T00:00:00+00:00,6,2530,2453,310,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
2,5.2,Romany,AGROMONTE,2025-07-29T00:00:00+00:00,12,2530,2453,810,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
3,5.2,Romany,AGROMONTE,2025-07-29T00:00:00+00:00,1,2530,2453,580,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
3,5.2,Lilac Melissa,AGROMONTE,2025-07-29T00:00:00+00:00,2,2530,2453,860,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
3,5.2,Canela,AGROMONTE,2025-07-29T00:00:00+00:00,3,2530,2453,710,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
3,5.2,Mantua,AGROMONTE,2025-07-29T00:00:00+00:00,4,2530,2453,925,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
3,5.2,Pigeon,AGROMONTE,2025-07-29T00:00:00+00:00,5,2530,2453,595,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
3,5.2,Pigeon,AGROMONTE,2025-07-29T00:00:00+00:00,6,2530,2453,745,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
3,5.2,Pigeon,AGROMONTE,2025-07-29T00:00:00+00:00,7,2530,2453,700,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
3,5.2,Pigeon,AGROMONTE,2025-07-29T00:00:00+00:00,8,2530,2453,590,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
3,5.2,Rascal Green,AGROMONTE,2025-07-29T00:00:00+00:00,9,2530,2453,520,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
3,5.2,Pigeon,AGROMONTE,2025-07-29T00:00:00+00:00,10,2530,2453,610,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
3,5.2,Pigeon,AGROMONTE,2025-07-29T00:00:00+00:00,11,2530,2453,675,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
